Rank,MO,Parameter ID,Parameter Name,Cells Changed,Pct Common Cells,Common Cells,Distinct Transitions,Change Type,Likely KPI Impact,Top Value Changes (Pre → Post),Default Value,Recommended Value,Meaning,Impact on Radio Network Performance
98,GCELLDYNTURNOFF,TURNOFFENABLE,Enable Turning Off Cell,10,0.04%,24816,1,Limited / targeted change,Other,ENABLE → AUTOCOTURNOFF (10),DISABLE(Disable),DISABLE(Disable),"Whether to enable the Dynamic Cell Power Off feature. When this parameter is set to ENABLE, the BSC can disable the cell within the period of time specified by ""TURNOFFCELLSTRTIME"" and"" TURNOFFCELLSTPTIME"". When this parameter is set to DISABLE, the BSC will never disable the cell. When this parameter is set to SLEEPING, the BSC will disable the cell unconditionally within ""TURNOFFCELLSTRTIME"" and ""TURNOFFCELLSTPTIME"" and keep the cell unconditionally enabled during other time. If the value of this parameter is changed to SLEEPING or changed from SLEEPING to other values for a cell, the new setting takes effect five minutes later. When this parameter is set to AUTOCOTURNOFF, the system automatically identifies and configures co-coverage cells without the need of manual identification and configuration and disables the cell when load conditions are met in the specified time period.",None
99,GCELLVAMOS,MUTESAICIDESWITCH,Auto Mute SAIC Identification Switch,7,0.03%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),OFF → (empty) (7),OFF(Off),OFF(Off),Whether to enable automatic identification of mute SAIC-capable MSs in a cell. A mute SAIC-capable MS is a SAIC-capable MS that is reported as SAIC-incapable. The value ON indicates that automatic identification of such MSs is enabled; the value OFF indicates that automatic identification of such MSs is disabled.,"When this parameter is set to ON, the downlink DTX, TFO, and local switching functions will be disabled if either of the following conditions is met: 1. ""SpeMsIdeMutexOpt"" is set to OFF.2. ""SpeMsIdeMutexOpt"" is set to ON and the current call is processed on a half-rate channel. Disabling these functions in the preceding scenario affects network interference. If the Alpha-QPSK modulation is used on the downlink, the downlink receive quality will deteriorate during the call."
100,GCELLVAMOS,SAICALPHAJUMPPRD,Faulty SAIC MS Alpha Hop Modulate Period,7,0.03%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),2 → (empty) (7),2,2,Period of Alpha hopping modulation during VAMOS multiplexing on a SAIC-capable MS with AFC defects or during the identification of such MSs.,None
101,GCELLVAMOS,SAICALPHAJUMPVALUE,Faulty SAIC MS Alpha Hop Modulate Value,7,0.03%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),4 → (empty) (7),4,4,Alpha value used for Alpha hopping modulation during VAMOS multiplexing on a SAIC-capable MS with AFC defects or during the identification of such MSs.,"When the VAMOS Call Drop Solution feature is enabled, problem SAIC MSs use alpha hopping modulation after VAMOS channel multiplexing. The call drop solution capability varies by alpha. Therefore, changing the value of this parameter affects the call drop rate and number of call drops."
102,GCELLVAMOS,SAICPROMSIDESWITCH,Problem SAIC Terminal Identify Switch,7,0.03%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),OFF → (empty) (7),OFF(Off),OFF(Off),Whether to enable automatic identification of SAIC-capable MSs with AFC defects in a cell.,"When this parameter is set to ON(On), downlink DTX, TFO, and local switching will be disabled if either of the following conditions is met: 1. ""SpeMsIdeMutexOpt"" is set to OFF(Off). 2. ""SpeMsIdeMutexOpt"" is set to ON(On) and the current call is processed on a half-rate channel. Disabling these functions in the preceding scenario affects network interference. When alpha hopping modulation is used on the downlink, the downlink receive quality will deteriorate during the call."
103,GCELLVAMOS,UNKOWNSAICMULTSWITCH,Allow Multiplex for Unknown SAIC MS,7,0.03%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),ON → (empty) (7),OFF(Off),OFF(Off),"Whether to allow VAMOS multiplexing for an identified SAIC-capable MS with possible AFC defects.
When this parameter is set to ON, VAMOS multiplexing is allowed for such an MS and Alpha hopping modulation is required.
When this parameter is set to OFF, VAMOS multiplexing is not allowed for such an MS.","If this parameter is set to ON, the call drop rate increases after VAMOS multiplexing is used. If this parameter is set to OFF, the VAMOS multiplexing rate decreases."
104,GCELL,ACTSTATUS,Active Status,5,0.02%,24816,1,Limited / targeted change,Other,DEACTIVATED → ACTIVATED (5),None,None,This parameter specifies whether the cell is active.,None
105,GCELLDYNTURNOFF,TURNOFFCELLSTRTIME,Dyn. Turning Off Cell Start Time,3,0.01%,24816,3,Limited / targeted change,Other,01:00 → 00:00 (1); 00:00 → 02:00 (1); 00:00 → 01:00 (1),00:00,None,"Start time for dynamically disabling a cell. A cell is allowed to be disabled from the time specified by this parameter. When the value of ""TURNOFFCELLSTPTIME"" is less than the value of ""TURNOFFCELLSTRTIME"", the Dynamic Cell Power Off feature can be enabled for more than a day. When the value of ""TURNOFFCELLSTPTIME"" is equal to the value of ""TURNOFFCELLSTRTIME"", the Dynamic Cell Power Off feature can be enabled all day.",None
106,GCELLHOBASIC,SRVCCHOEN,SRVCC Handover Allowed,3,0.01%,24816,1,Limited / targeted change,SRVCC HO / CS continuity (VoLTE→GSM),NO → YES (3),NO(No),NO(No),"This parameter indicates whether the SRVCC handover is supported. If this parameter is set to ""YES"", the speech call handled by the IMS can be handed over a GSM cell. In this manner, the continuity of the speech service is maintained.",None
107,GCELLBASICPARA,MAXTA,Max TA,1,0.00%,24816,1,Limited / targeted change,TCH CDR (timing / coverage),2 → 4 (1),62,62(Normal cell);219(Double Timeslot Extension Cell),"This parameter specifies the actual coverage area of a cell. After receiving the channel request message, the BTS determines whether the channel assignment is performed in the cell by comparing the TA and the value of this parameter. The value of this parameter is determined by that of ""Cell Extension Type"" in the ""ADD GCELL"" command.",None
108,GCELLDYNTURNOFF,SAMECVGCELLLOADTHRD,Same Coverage Cell Load Threshold,1,0.00%,24816,1,Limited / targeted change,Other,50 → 1 (1),50,50,A cell can be disabled only if the load of the co-coverage cell is lower than the threshold specified by this parameter for a period.,None
109,GCELLDYNTURNOFF,TURNONCELLLOADTHRD,Dyn. Turning On Cell Load Threshold,1,0.00%,24816,1,Limited / targeted change,Other,80 → 2 (1),80,80,"When the load of the same coverage cell is higher than or equal to this threshold for a period, the disabled cell is enabled.",None
