Rank,MO,Parameter ID,Parameter Name,Cells Changed,Pct Common Cells,Common Cells,Distinct Transitions,Change Type,Likely KPI Impact,Top Value Changes (Pre → Post),Default Value,Recommended Value,Meaning,Impact on Radio Network Performance
38,GCELLVAMOS,VAMOSASSULQUALTHDOFFSET,Channel Multiplex Rx Qual. Thres. Offset in Asgmt.,364,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 0 (358); 4 → 0 (6),4,4,"Offset of the uplink or downlink receive quality of a new call against the quality threshold of existing calls. If a new call is to be selected as a candidate call for VAMOS channel multiplexing during channel assignment, its uplink receive quality must be smaller than or equal to ""VamosIntraHoUlQualThd"" minus ""VamosAssUlQualThdOffset"" and its downlink receive quality must be smaller than or equal to ""VamosIntraHoDlQualThd"" minus ""VamosAssUlQualThdOffset"".","If this parameter is set to a large value, the number of new calls as VAMOS candidate calls decreases, the VAMOS traffic volume in the cell decreases, and the deterioration of network quality eases. If this parameter is set to a small value, the number of new calls as VAMOS candidate calls increases, the VAMOS traffic volume in the cell increases, and the deterioration of network quality increases."
39,GCELLVAMOS,VAMOSBQDEMUXPENSW,Enable BQ VAMOS Channel Demultiplex Penalty,364,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → ON (358); OFF → ON (6),OFF(Off),ON(On),"Whether to enable the BQ VAMOS demultiplexing penalty function. If this parameter is set to ON, the BSC, after performing VAMOS channel demultiplexing due to BQ on a pair of multiplexed calls, performs penalty on the call with poorer quality. In this case, the BSC forbids VAMOS channel multiplexing on the call. If this parameter is set to OFF, the BSC does not perform penalty on the call with poorer quality.","If this parameter is set to ON, the call drop rate decreases, but the VAMOS traffic volume also decreases."
40,GCELLVAMOS,VAMOSMAINTSC,Primary TSC in VAMOS,364,1.47%,24816,6,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 0 (358); 2 → 0 (2); 1 → 0 (1); 3 → 0 (1); 7 → 0 (1); 6 → 0 (1),0,0,"Primary Training Sequence Code (TSC) used in the network when the VAMOS function is enabled in a cell. Before all calls enter the VAMOS mode, the primary TSC is assigned preferentially; after a pair of VAMOS calls is multiplexed, the TSC that is not used by the call that accesses the timeslot first is assigned to the other call.",None
41,GCELLVAMOS,VAMOSSUBTSC,Secondary TSC in VAMOS,364,1.47%,24816,6,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 2 (358); 0 → 2 (2); 7 → 2 (1); 4 → 2 (1); 1 → 2 (1); 5 → 2 (1),2,2,"Secondary Training Sequence Code (TSC) used in the network when the VAMOS function is enabled in a cell. Before all calls enter the VAMOS mode, the primary TSC is assigned preferentially; after a pair of VAMOS calls is multiplexed, the TSC that is not used by the call that accesses the timeslot first is assigned to the other call.",None
42,GCELLVAMOS,OPTVAMOSCHNMULALG,Opt VAMOS Channel Multiplexing Alg Allowed,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → NO (358),NO(No),NO(No),"Whether to use the optimized VAMOS channel multiplexing algorithm. When this parameter is set to YES, all MSs in the candidate VAMOS call queue are sorted in ascending order of receive quality of established candidate calls. MSs with the same receive quality are sorted in descending order of ATCB. When this parameter is set to NO, all MSs in the candidate VAMOS call queue are sorted in ascending order of path loss of established candidate calls.","When this parameter is set to YES, the speech quality does not deteriorate or improves. This algorithm will significantly improve the speech quality if the VAMOS and IBCA functions are enabled together."
43,GCELLVAMOS,SAICWHTMSIDENTSW,SAIC White MS Identification Switch,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → OFF (358),OFF(Off),ON(On),"Whether to enable the SAIC white MS identification function. An SAIC white MS refers to a SAIC MS that supports Alpha-QPSK modulation. If this parameter is set to ON, this function is enabled, and the BSC identifies SAIC white MSs and can use Alpha-QPSK modulation on the multiplexed SAIC white MSs in the downlink. If this parameter is set to OFF, this function is disabled.","If this parameter is set to ON, the BSC identifies SAIC white MSs, the VAMOS multiplexing performance improves, but the call drop rate increases and the voice quality deteriorates."
44,GCELLVAMOS,SPEMSIDEATCBTHD,ATCB Thres of Terminal Identify,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 68 (358),68,68,"ATCB threshold of a call for triggering automatic MS identification. When the ATCB of a call is greater than or equal to the value of this parameter, automatic identification of mute SAIC-capable MSs and SAIC-capable MSs with AFC defects is performed. The actual value of this parameter equals the GUI value minus 64.","If this parameter is set to a large value, the ATCB of a call in terminal identification request is high, and terminal identification can be performed on few calls. This eases network quality deterioration."
45,GCELLVAMOS,SPEMSIDEDLRXQUALTHD,DL RX Qual Thres of Terminal Identify,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 10 (358),10,10,"Threshold of the downlink receive quality of a call for triggering automatic MS identification.When the downlink receive quality of a call is greater than the value of this parameter, automatic identification of such MSs is not performed. When the downlink receive quality of a call is lower than or equal to the value of this parameter, automatic identification of such MSs is performed.","If this parameter is set to a small value, automatic mute SAIC terminal identification is performed on calls with favorable downlink receive quality. Therefore, automatic mute SAIC terminal identification is performed on few calls in the network. As a result, few calls are affected and network quality decreases slightly."
46,GCELLVAMOS,SPEMSIDELASTTIMES,Satisfy Time for Terminal Identify,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 3 (358),3,3,"Duration in which uplink and downlink quality, uplink and downlink levels, and ATCB of a call meet the thresholds. If the duration in which uplink and downlink quality,uplink and downlink levels, and ATCB of a call meet the thresholds within the time specified by ""SpeMsIdeStatTimes"" is greater than or equal to the value of this parameter, MS identification is allowed to be triggered.","If this parameter is set to a large value, a longer period of observing uplink and downlink call quality and ATCB for triggering automatic identification is required. In this case, the BSC triggers MS identification at a later time, thereby decreasing the number of calls on which MS identification can be performed on the network. As a result, the number of calls affected by MS identification decreases, and network quality deteriorates more slightly."
47,GCELLVAMOS,SPEMSIDESTATTIMES,Watch Time for Terminal Identify,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 3 (358),3,3,"Observation period for uplink and downlink quality, uplink and downlink levels, ATCB of a call. If the duration in which uplink and downlink quality,uplink and downlink levels, and ATCB of a call meet the thresholds within the time specified by this parameter is greater than or equal to the value of ""SpeMsIdeLastTimes"", MS identification is allowed to be triggered.","If this parameter is set to a large value, a long period for observing uplink and downlink call quality and ATCB is required. Therefore, automatic terminal identification is triggered late and few calls are affected, which deteriorates network quality slightly."
48,GCELLVAMOS,SPEMSIDEULRXQUALTHD,UL RX Qual Thres of Terminal Identify,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 10 (358),10,10,"Threshold of the uplink receive quality of a call for triggering automatic identification of mute SAIC-capable MSs and SAIC-capable MSs with AFC defects. When the uplink receive quality of a call is greater than the value of this parameter, automatic identification of such MSs is not performed. When the uplink receive quality of a call is lower than or equal to the value of this parameter, automatic identification of such MSs is performed.","If this parameter is set to a small value, automatic mute SAIC terminal identification is performed on calls with favorable uplink receive quality. Therefore, automatic mute SAIC terminal identification is performed on few calls in the network. As a result, few calls are affected and network quality deteriorates less."
49,GCELLVAMOS,VAMOSANTULRXLEVDIFFTHD,Main and Diversity UL RX Level Diff Thld for MUX,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 9 (358),9,9,"Uplink main and diversity receive level difference threshold for candidate VAMOS call decision. If the main and diversity receive level difference after measurement report filtering is greater than the value of this parameter, VAMOS multiplexing is not allowed. The preceding rule is invalid if this parameter is set to 127.","If this parameter is set to an overly large value, calls with overly large main and diversity receive level differences can receive VAMOS multiplexing. As a result, the uplink HQIs and call drop rate deteriorate. If this parameter is set to an overly small value, calls with proper main and diversity receive level differences cannot receive VAMOS multiplexing. As a result, the VAMOS traffic volume decreases and network congestion becomes more severe."
50,GCELLVAMOS,VAMOSASSDLRXLEVTHDOFFSET,Rx Lev. Thres. Offset During Assignment,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 128 (358),128,128,Offset of the downlink receive level of a new call from the level threshold of established calls if the new call is to be selected as a VAMOS candidate call during assignment. A new call can be selected as a VAMOS candidate call only when the following conditions are met: The downlink receive level of the new call is greater than or equal to the sum of DL Rx Lev. Thres. of VAMOS Calls and this parameter. The uplink and downlink receive quality as well as the ATCB meet relevant requirements.,"The larger the value of this parameter, the smaller the number of new candidate VAMOS calls. This affects VAMOS traffic volume and network quality."
51,GCELLVAMOS,VAMOSASSLOADOFT,Multiplexing Load Thres. Offset in Assignment,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 100 (358),100,100,"Offset between the load threshold and the handover multiplexing load threshold for VAMOS channel multiplexing during assignment. When VAMOS channel multiplexing during assignment is enabled in common cells and underlaid subcells in concentric cells, the decision procedure for VAMOS channel multiplexing during assignment is triggered if the cell load or load in the underlaid subcell is higher than or equal to the sum of ""VamosMultLoadThd"" and ""VAMOSASSLOADOFT"". When VAMOS channel multiplexing during assignment is enabled in overlaid subcells, the decision procedure for VAMOS channel multiplexing during assignment is triggered if the load in the overlaid subcell is higher than or equal to the sum of ""VamosIuoInnerLoadThd"" and ""VAMOSASSLOADOFT"". The actual value for this parameter is the GUI value for this parameter minus 100.","The smaller the value of this parameter, the lower the load start threshold required by VAMOS channel multiplexing during assignment, the earlier the VAMOS channel multiplexing during assignment is triggered."
52,GCELLVAMOS,VAMOSASSMULTATCBOFFSET,Channel Multiplex ATCB Thres. Offset in Asgmt.,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 2 (358),2,2,"Offset of the ATCB for a new call from the ATCB threshold for existing calls, if the new call is to be selected as a candidate VAMOS HR call during channel allocation. If the new call is a Non-SAIC call in a common cell or in the underlaid subcell of a concentric cell, the ATCB for the new call must be greater than or equal to the sum of the values of ""VamosIntraHoNoneSaicAtcbThd"" and ""VamosAssMultAtcbOffset"". If the new call is a Non-SAIC call in the overlaid subcell of a concentric cell, the ATCB for the new call must be greater than or equal to the sum of ""VamosIntraHoNoneSaicAtcbThd"", ""VamosAssMultAtcbOffset"", and ""VamosIuoInnerAtcbThd"". The preceding rules apply to SAIC calls, VAMOS I calls, and VAMOS II calls that are newly set up.","If this parameter is set to a large value, the number of new calls as VAMOS candidate calls decreases, the VAMOS traffic volume in the cell decreases, and the deterioration of network quality eases."
53,GCELLVAMOS,VAMOSASSSWITCH,Allow Channel Multiplex in Assignment,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → ON (358),OFF(Off),OFF(Off),Whether to enable VAMOS channel multiplexing during assignment in the network. The value ON indicates that VAMOS channel multiplexing during assignment is enabled in a cell; the value OFF indicates that VAMOS channel multiplexing during assignment is disabled in a cell.,"When ""VamosSwitch"" is set to ON, VFR, or VHR and ""VamosAssSwitch"" is set to ON, the network congestion rate decreases significantly; however, network quality decreases after VAMOS calls are multiplexed."
54,GCELLVAMOS,VAMOSDEPOLRXQUALOFT,OL BQ Demultiplexing Rx Quality Thres. Offset,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 70 (358),70,70,"Receive signal quality threshold offset between a VAMOS call in the overlaid subcell and a VAMOS call in the underlaid subcell during channel demultiplexing due to bad quality. VAMOS channel demultiplexing due to bad quality is triggered if the P/N criterion is met and either of the following conditions is met:
The uplink receive signal quality of the VAMOS call in the overlaid subcell is higher than or equal to ""VamosQualReuseUpLinkQualThd"" minus ""VAMOSDEPOLRXQUALOFT"". The downlink receive signal quality of the VAMOS call in the overlaid subcell is higher than or equal to ""VamosQualReuseDownLinkQualThd"" minus ""VAMOSDEPOLRXQUALOFT"". 
The actual value for this parameter is the GUI value for this parameter minus 70.","The smaller the value of this parameter:
The smaller the receive signal quality offset between a VAMOS call in the overlaid subcell and a VAMOS call in the underlaid subcell during channel demultiplexing due to bad quality
The later the channel demultiplexing due to bad quality is triggered
The more the VAMOS traffic volume
The lower the network quality."
55,GCELLVAMOS,VAMOSFACCHENHANCE,VAMOS FACCH Send Enhance Switch,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → ON (358),ON(On),ON(On),"Whether to enable the VAMOS FACCH send enhance function. Setting this parameter to ON automatically converts Alpha-QPSK modulation to GMSK modulation for the FACCH when the quality of the radio environment is poor. Therefore, downlink FACCH demodulation performance can be improved significantly.",Setting this parameter to ON decreases the VAMOS call drop rate but may also slightly decrease the MOS of multiplexed calls.
56,GCELLVAMOS,VAMOSINTRAHONONESAICATCBTHD,ATCB Thres. of Established Non-SAIC Calls,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 82 (358),82,82,"ATCB threshold of an established non-SAIC call to be selected as a candidate call for VAMOS channel multiplexing. The decision on an established Non-SAIC call can be triggered successfully only when the following conditions are met: The ATCB of the call is greater than or equal to the value of this parameter. The uplink receive quality is lower than or equal to ""UL Rx Qual. Thres. of Established Calls"". The downlink receive quality is lower than or equal to ""DL Rx Qual. Thres. of Established Calls"". If the decision conditions are met for ""Duration of Satisfying Candidate VAMOS Call"" within ""Watch Time of Candidate Calls"", this call can be selected as a VAMOS candidate call. The actual value of this parameter equals the GUI value minus 64.","If this parameter is set to a large value, the number of established Non-SAIC calls that can be selected as VAMOS candidate calls decreases, the VAMOS traffic volume in the cell decreases, and the deterioration of network quality eases."
57,GCELLVAMOS,VAMOSINTRAHOSAICATCBTHD,ATCB Thres. of Established SAIC Calls,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 66 (358),66,66,"ATCB threshold of an established SAIC call to be selected as a candidate call for VAMOS channel multiplexing. The decision on an established SAIC call can be triggered successfully only when all of the following conditions are met: 1. The ATCB of the call is greater than or equal to the value of this parameter. 2. The uplink receive quality is smaller than or equal to ""VamosIntraHoUlQualThd"". 3. The downlink receive quality is smaller than or equal to ""VamosIntraHoDlQualThd"". 
4. The uplink receive level is greater than or equal to ""VamosIntraHoUlRxlevThd"". 5. The downlink receive level is greater than or equal to ""VamosIntraHoDlRxlevThd"". 6. The absolute value of the difference between main and diversity receive levels is less than or equal to ""VamosAntUlRxlevDiffThd"".
If the decision conditions are met for ""VamosOldCallLastTimes"" within ""VamosOldCallStatTimes"", this call can be selected as a candidate VAMOS call. Otherwise, this call cannot be selected as a candidate VAMOS call. The actual value of this parameter equals the GUI value minus 64.","If this parameter is set to a large value, the number of established SAIC calls that can be selected as VAMOS candidate calls decreases, the VAMOS traffic volume in the cell decreases, and the deterioration of network quality eases."
58,GCELLVAMOS,VAMOSINTRAHOSWITCH,Allow Channel Multiplex via In-Cell HO,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → ON (358),ON(On),ON(On),Whether to enable VAMOS channel multiplexing through intra-cell handover in the network. The value ON indicates that VAMOS channel multiplexing through intra-cell handover is enabled in a cell; the value OFF indicates that VAMOS channel multiplexing through intra-cell handover is disabled in a cell.,"When ""VamosSwitch"" is set to ON, VFR, or VHR and ""VamosAssSwitch"" is set to ON, the network congestion rate decreases significantly; however, network quality decreases after VAMOS calls are multiplexed."
59,GCELLVAMOS,VAMOSINTRAHOVAMOS1ATCBTHD,ATCB Thres. of Established VAMOS-1 Calls,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 66 (358),66,66,"ATCB threshold of an established VAMOS-1 call to be selected as a candidate call for VAMOS HR channel multiplexing. The decision on an established VAMOS-1 call can be triggered successfully only when all of the following conditions are met: 1. The ATCB of the call is greater than or equal to the value of this parameter. 2. The uplink receive quality is smaller than or equal to ""VamosIntraHoUlQualThd"". 3. The downlink receive quality is smaller than or equal to ""VamosIntraHoDlQualThd"". 
4. The uplink receive level is greater than or equal to ""VamosIntraHoUlRxlevThd"". 5. The downlink receive level is greater than or equal to ""VamosIntraHoDlRxlevThd"". 6. The absolute value of the difference between main and diversity receive levels is less than or equal to ""VamosAntUlRxlevDiffThd"".
If the decision conditions are met for ""VamosOldCallLastTimes"" within ""VamosOldCallStatTimes"", this call can be selected as a candidate VAMOS call. Otherwise, this call cannot be selected as a candidate VAMOS call. The actual value of this parameter equals the GUI value minus 64.","If this parameter is set to a large value, the number of established VAMOS-1 calls that can be selected as VAMOS candidate calls decreases, the VAMOS traffic volume in the cell decreases, and the deterioration of network quality eases."
60,GCELLVAMOS,VAMOSINTRAHOVAMOS2ATCBTHD,ATCB Thres. of Established VAMOS-2 Calls,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 66 (358),66,66,"ATCB threshold of an established VAMOS-2 call to be selected as a candidate call for VAMOS channel multiplexing. The decision on an established VAMOS-2 call can be triggered successfully only when all of the following conditions are met: 1. The ATCB of the call is greater than or equal to the value of this parameter. 2. The uplink receive quality is smaller than or equal to ""VamosIntraHoUlQualThd"". 3. The downlink receive quality is smaller than or equal to ""VamosIntraHoDlQualThd"". 
4. The uplink receive level is greater than or equal to ""VamosIntraHoUlRxlevThd"". 5. The downlink receive level is greater than or equal to ""VamosIntraHoDlRxlevThd"". 6. The absolute value of the difference between main and diversity receive levels is less than or equal to ""VamosAntUlRxlevDiffThd"".
If the decision conditions are met for ""VamosOldCallLastTimes"" within ""VamosOldCallStatTimes"", this call can be selected as a candidate VAMOS call. Otherwise, this call cannot be selected as a candidate VAMOS call. The actual value of this parameter equals the GUI value minus 64.","If this parameter is set to a large value, the number of established VAMOS-2 calls that can be selected as VAMOS candidate calls decreases, the VAMOS traffic volume in the cell decreases, and the deterioration of network quality eases."
61,GCELLVAMOS,VAMOSIUOINNERATCBTHD,ATCB Offset in Overlaid Subcell,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 130 (358),130,130,Offset of the ATCB of a new call in the overlaid subcell from the ATCB threshold of a new call in the underlaid subcell if the new call in the overlaid subcell is to be selected as a VAMOS candidate call during assignment.,"The larger the value of this parameter, the smaller the number of new candidate VAMOS calls in the overlaid subcell. This affects VAMOS traffic volume and network quality."
62,GCELLVAMOS,VAMOSLOADREUSESWITCH,Channel Demultiplex on Low Cell Load,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → ON (358),ON(On),ON(On),Whether to enable VAMOS channel demultiplexing when the load in a cell is low. The value ON indicates that VAMOS channel demultiplexing due to low cell load is enabled; the value OFF indicates that VAMOS channel demultiplexing due to low cell load is disabled.,"When this parameter is set to ON and ""VamosSwitch"" is set to ON, VFR, or VHR, KPIs related to network quality improve."
63,GCELLVAMOS,VAMOSMSENABLE,MS Support VAMOS I&II Enable,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → ON (358),ON(On),ON(On),"Whether to support VAMOS I and II MSs. The VAMOS performance of VAMOS I and VAMOS II MSs is better than that of SAIC-capable MSs. If this parameter is set to ON, the BSS supports VAMOS I and VAMOS II MSs.",Setting this parameter to ON can improve the VAMOS performance of a network.
64,GCELLVAMOS,VAMOSNODLMRHOOPTSW,VAMOS No DL MR Handover Optimize Switch,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → OFF (358),OFF(Off),OFF(Off),"Whether to optimize handovers due to no downlink measurement report (MR) for VAMOS calls. If this parameter is set to ON, the BSC preferentially performs handovers due to no downlink MR in a cell for VAMOS calls when the conditions for performing handovers due to no downlink MR are met. In addition, such handovers are not controlled by [GCELLHOEMG:NODLMRHOEN] and [GCELLHOBASIC:INTRACELLHOEN]. If this parameter is set to OFF, the BSC does not optimize handovers due to no downlink MR for VAMOS calls, and such handovers are controlled by [GCELLHOEMG:NODLMRHOEN].",None
65,GCELLVAMOS,VAMOSOLDCALLLASTTIMES,Duration of Satisfying Candidate VAMOS Call,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 2 (358),2,2,"Duration within which a call satisfies the decision conditions for selecting a VAMOS candidate call. If the decision conditions are met for ""Duration of Satisfying Candidate VAMOS Call"" within ""Watch Time of Candidate Calls"". Otherwise, this call can be selected as a VAMOS candidate call.","If this parameter is set to a large value, the decision of accepting a call as a VAMOS candidate call is triggered late, and the number of calls that can be selected as VAMOS candidate calls decreases. These affect the number of VAMOS candidate calls and timeliness of VAMOS channel multiplexing."
66,GCELLVAMOS,VAMOSOLDCALLSTATTIMES,Watch Time of Candidate Calls,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 3 (358),3,3,"Duration within which the ATCB and receive quality of a call are observed to determine whether this call can be selected as a VAMOS candidate call. If the decision is triggered for ""Duration of Satisfying Candidate VAMOS Call"" within the period of time specified by this parameter. Otherwise, this call can be selected as a VAMOS candidate call.","If this parameter is set to a large value, the decision of accepting a call as a VAMOS candidate call is triggered late, and the number of calls that can be selected as VAMOS candidate calls decreases. These affect the number of VAMOS candidate calls and timeliness of VAMOS channel multiplexing."
67,GCELLVAMOS,VAMOSOLRXLEVOFT,OL Multiplexing Rx Level Thres. Offset,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 128 (358),128,128,"Receive level threshold offset between a call in the overlaid subcell and a call in the underlaid subcell when a call is selected as the candidate VAMOS call during channel multiplexing in the overlaid subcell. A new call in the overlaid subcell is selected as the candidate VAMOS call if all of the following conditions are met: 1. The downlink receive level of the new call is greater than or equal to the sum of ""VamosIntraHoDlRxlevThd"", ""VamosAssDlRxlevThdOffset"" and ""VAMOSOLRXLEVOFT"". 2. The uplink receive level of the new call is greater than or equal to the sum of ""VamosIntraHoUlRxlevThd"", ""VamosAssDlRxlevThdOffset"", and ""VAMOSOLRXLEVOFT"". 3. The uplink and downlink receive quality, ATCB, absolute value of the difference between main and diversity receive levels, and P/N criterion meets relevant requirements. 
An established call in the overlaid subcell is selected as the candidate VAMOS call if both of the following conditions are met: 1. The downlink receive level of the established call is greater than or equal to the sum of ""VamosIntraHoDlRxlevThd"" and ""VAMOSOLRXLEVOFT"". 2. The uplink and downlink receive quality, ATCB, absolute value of the difference between main and diversity receive levels, and P/N criterion meets relevant requirements.
The actual value for this parameter is the GUI value for this parameter minus 128.","The smaller the value of this parameter:
The smaller the receive signal level offset between a call in the overlaid subcell that regards as the candidate VAMOS call and a call in the underlaid subcell that regards as the candidate VAMOS call
The looser the conditions for selecting a call as the candidate VAMOS call
The more the VAMOS traffic volume
The lower the network quality."
68,GCELLVAMOS,VAMOSOLRXQUALOFT,OL Multiplexing Rx Quality Thres. Offset,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 70 (358),70,70,"Receive quality offset between a call in the overlaid subcell and a call in the underlaid subcell when decisions on candidate VAMOS calls are made during VAMOS channel multiplexing in the overlaid subcell. A new call in the overlaid subcell can be used as the candidate VAMOS call if all of the following conditions are met: 1. The uplink receive quality of the new call is smaller than or equal to ""VamosIntraHoUlQualThd"" minus ""VamosAssUlQualThdOffset"" and ""VAMOSOLRXQUALOFT"". 2. The downlink receive quality of the new call is smaller than or equal to ""VamosIntraHoDlQualThd"" minus ""VamosAssUlQualThdOffset"" and ""VAMOSOLRXQUALOFT"". 3. The uplink and downlink receive levels, ATCB, absolute value of the difference between main and diversity receive levels, and P/N criterion meet relevant requirements. 
An established call in the overlaid subcell can be used as the candidate VAMOS call if all of the following conditions are met: 1. The uplink receive quality of the established call is smaller than or equal to ""VamosIntraHoUlQualThd"" minus ""VAMOSOLRXQUALOFT"". 2. The downlink receive quality of the established call is smaller than or equal to ""VamosIntraHoDlQualThd"" minus ""VAMOSOLRXQUALOFT"". 3. The uplink and downlink receive levels, ATCB, absolute value of the difference between main and diversity receive levels, and P/N criterion meet relevant requirements. 
The actual value of this parameter equals the GUI value minus 70.","The smaller the value of this parameter:
The smaller the receive signal level offset between a call in the overlaid subcell that regards as the candidate VAMOS call and a call in the underlaid subcell that regards as the candidate VAMOS call
The looser the conditions for selecting a call as the candidate VAMOS call
The more the VAMOS traffic volume
The lower the network quality."
69,GCELLVAMOS,VAMOSPATHLOSSMAXDIFFVALUE,Path Loss Offset Thres. of VAMOS Call,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 20 (358),20,20,"Threshold of the absolute value of the path loss difference between two calls for VAMOS channel multiplexing. When the absolute value of the path loss difference between two calls is smaller than or equal to this threshold, the two calls are allowed to be multiplexed.","The larger the value of this parameter, the more VAMOS calls and the less multiplexing attempts. This affects VAMOS traffic volume and network quality."
70,GCELLVAMOS,VAMOSQUALREUSEDOWNLINKQUALTHD,DL RX Bad Qual. Demultiplex Thres.,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 50 (358),45,45,"Downlink receive quality threshold of a VAMOS call in channel demultiplexing due to poor speech quality in a cell. The decision of channel demultiplexing due to poor speech quality is triggered when either of the following conditions is met: 1. The downlink receive quality of a VAMOS call in a common cell or underlaid subcell of a concentric cell is greater than or equal to this threshold or the uplink receive quality is greater than or equal to "" VamosQualReuseUpLinkQualThd"". 2. The downlink receive quality of a VAMOS call in the overlaid subcell of a concentric cell is greater than or equal to the value of ""VamosQualReuseDownLinkQualThd"" minus ""VAMOSDEPOLRXQUALOFT"" or the uplink receive quality is greater than or equal to the value of ""VamosQualReuseUpLinkQualThd"" minus ""VAMOSDEPOLRXQUALOFT"". A call can be demultiplexed using the intra-cell handover only when the decision conditions are met for times specified by ""VamosQualReuseLastTimes"" within the duration specified by ""VamosQualReuseStatTimes"".","The larger the value of this parameter, the later VAMOS channel demultiplexing decision is made due to poor call quality, the smaller the number of times for handovers due to poor call quality, the heavier the VAMOS traffic in the cell, and the greater the network quality deterioration."
71,GCELLVAMOS,VAMOSQUALREUSELASTTIMES,Bad Qual. Duration for Demultiplex,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 1 (358),1,1,"Duration in which a call satisfies the conditions for channel demultiplexing due to poor speech quality in a cell. Within ""Watch Time of Poor Qual. for Demultiplex"", a call can be demultiplexed only when it satisfies the conditions for ""Poor Qual. Duration for Demultiplex"".","The larger the value of this parameter, the later the VAMOS channel multiplexing decision is made due to poor call quality, the heavier the VAMOS traffic in the cell, and the greater the network quality deterioration."
72,GCELLVAMOS,VAMOSQUALREUSESTATTIMES,Watch Time of Bad Qual. for Demultiplex,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 1 (358),1,1,Duration for observing the receive quality of a VAMOS call in the decision of channel demultiplexing due to poor speech quality in a cell.,"The larger the value of this parameter, the later the VAMOS channel multiplexing decision is made due to poor call quality, the heavier the VAMOS traffic in the cell, and the greater the network quality deterioration."
73,GCELLVAMOS,VAMOSQUALREUSESWITCH,Channel Demultiplex on Bad Qual.,358,1.44%,24816,1,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → ON (358),ON(On),ON(On),Whether to enable VAMOS channel demultiplexing when the speech quality of a call is poor. The value ON indicates that VAMOS channel demultiplexing due to poor speech quality is enabled; the value OFF indicates that VAMOS channel demultiplexing due to poor speech quality is disabled.,"When this parameter is set to ON and ""VamosSwitch"" is set to ON, VFR, or VHR, KPIs related to network quality improve."
